,sentence_Question,sentence_Answer,topic,sentiment
0,what are the symptoms of covid-19,"the most common symptoms of covid-19 are fever, tiredness, and dry cough. some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. these symptoms are usually mild and begin gradually. some people become infected but don’t develop any symptoms and don't feel unwell.",6,0
1,can the virus that causes covid-19 be transmitted through the air,studies to date suggest that the virus that causes covid-19 is mainly transmitted through contact with respiratory droplets rather than through the air.,6,1
2,can co. vid-19 be caught from a person who has no symptoms,the risk of catching covid-19 from someone with no symptoms at all is very low.?,6,0
3,what can i do to protect myself and prevent the spread of disease,regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water. maintain at least 3 feet distance between yourself and anyone who is coughing or sneezing.,6,2
4,should i wear a mask to protect myself,"people with no respiratory symptoms, such as cough, do not need to wear a medical mask. who recommends the use of masks for people who have symptoms of covid-19 and for those caring for individuals who have symptoms, such as cough and fever.",2,2
5,"how to put on, use, take off and dispose of a mask","before touching the mask, clean hands with an alcohol-based hand rub or soap and water. take the mask and inspect it for tears or holes. orient which side is the top side.. ensure the proper side of the mask faces outwards.. place the mask to your face. pinch the metal strip or stiff edge of the mask so it molds to the shape of your nose. pull down the mask’s bottom so it covers your mouth and your chin.",3,2
6,should i worry about covid-19?,"if you are not in area where covid-19 is spreading, or if you have not travelled from one of those areas or have not been in close contact with someone who has and is feeling unwell, your chances of getting it are currently low.",6,0
7,who is at risk of developing severe illness,"while we are still learning about how covid-2019 affects people, older persons and persons with pre-existing medical conditions.  appear to develop serious illness more often than others.",6,0
8,are antibiotics effective in preventing or treating the covid-19,"no. antibiotics do not work against viruses, they only work on bacterial infections. covid-19 is caused by a virus, so antibiotics do not work.",6,2
9,how long is the incubation period for covid-19,"most estimates of the incubation period for covid-19 range from 1-14 days, most commonly around five days.",1,1
10,how long does the virus survive on surfaces,"it is not certain how long the virus that causes covid-19 survives on surfaces, but it seems to behave like other coronaviruses. studies suggest that coronaviruses.  may persist on surfaces for a few hours or up to several days.",6,2
11,is it safe to receive a package from any area where covid-19 has been reported,"yes. the likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes covid-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.",6,0
12,"is there a vaccine, drug or treatment for covid-19","not yet. to date, there is no vaccine and no specific antiviral medicine to prevent or treat covid-2019.",3,0
13,how do i know if it is covid-19 or just the common flu,a covid-19 infection has the same signs and symptoms as the common cold and you can only differentiate them through laboratory testing to determine the virus type.,1,0
14,can the virus that causes covid-19 be transmitted through the air,studies to date suggest that the virus that causes covid-19 is mainly transmitted through contact with respiratory droplets rather than through the air.,6,1
15,what can i do to protect myself and prevent the spread of disease,"stay aware of the latest information the covid-19 outbreak, available on the who website and through your national and local public health authority.",3,2
16,i am well and asymptomatic. should i use a mask,"according to the who, for individuals without respiratory symptoms, a medical mask is not required, as no evidence is available on its usefulness to protect non-sick persons.",2,2
17,are pregnant women more susceptible to the covid-19 virus and will it harm the fetus,"we do not have information from published scientific reports about the susceptibility of pregnant women to covid-19. pregnant women experience immunologic and physiologic changes, which might make them more susceptible to viral respiratory infections, including covid-19.",0,0
18,what is the risk of my child becoming sick with covid-19,"based on available evidence, children do not appear to be at higher risk for covid-19 than adults.",6,0
