Question,Answer,idx,topic
What is COVID-19,"COVID-19 is the infectious disease caused by the most recently discovered coronavirus. This new virus and disease were unknown before the outbreak began in Wuhan, China, in December 201",0,8
What are the symptoms of COVID-19,"The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These symptoms are usually mild and begin gradually. Some people become infected but don’t develop any symptoms and don't feel unwell.",1,3
How does COVID-19 spread,"People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales. These droplets land on objects and surfaces around the person. Other people then catch COVID-19 by touching these objects or surfaces, then touching their eyes, nose or mouth. People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets.",2,3
Can the virus that causes COVID-19 be transmitted through the air,Studies to date suggest that the virus that causes COVID-19 is mainly transmitted through contact with respiratory droplets rather than through the air.,3,9
Can CoVID-19 be caught from a person who has no symptoms,The risk of catching COVID-19 from someone with no symptoms at all is very low.?,4,3
What can I do to protect myself and prevent the spread of disease,Regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water. Maintain at least 3 feet distance between yourself and anyone who is coughing or sneezing.,5,1
Should I wear a mask to protect myself,"People with no respiratory symptoms, such as cough, do not need to wear a medical mask. WHO recommends the use of masks for people who have symptoms of COVID-19 and for those caring for individuals who have symptoms, such as cough and fever.",6,3
"How to put on, use, take off and dispose of a mask","Before touching the mask, clean hands with an alcohol-based hand rub or soap and water. Take the mask and inspect it for tears or holes. Orient which side is the top side (where the metal strip is). Ensure the proper side of the mask faces outwards (the colored side). Place the mask to your face. Pinch the metal strip or stiff edge of the mask so it molds to the shape of your nose. Pull down the mask’s bottom so it covers your mouth and your chin.",7,1
How likely am I to catch COVID-19,The risk depends on where you live or where you have travelled recently. The risk of infection is higher in areas where a number people have been diagnosed with COVID-19.?,8,10
Should I worry about COVID-19?,"If you are not in an area where COVID-19 is spreading, or if you have not travelled from one of those areas or have not been in close contact with someone who has and is feeling unwell, your chances of getting it are currently low.",9,1
Who is at risk of developing severe illness,"While we are still learning about how COVID-2019 affects people, older persons and persons with pre-existing medical conditions (such as high blood pressure, heart disease, or diabetes) appear to develop serious illness more often than others.",10,10
Are antibiotics effective in preventing or treating the COVID-19,"No. Antibiotics do not work against viruses, they only work on bacterial infections. COVID-19 is caused by a virus, so antibiotics do not work.",11,10
How long is the incubation period for COVID-19,"Most estimates of the incubation period for COVID-19 range from 1-14 days, most commonly around five days.",12,2
How long does the virus survive on surfaces,"It is not certain how long the virus that causes COVID-19 survives on surfaces, but it seems to behave like other coronaviruses. Studies suggest that coronaviruses (including preliminary information on the COVID-19 virus) may persist on surfaces for a few hours or up to several days.",13,10
Is it safe to receive a package from any area where COVID-19 has been reported,"Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.",14,1
"Is there a vaccine, drug or treatment for COVID-19","Not yet. To date, there is no vaccine and no specific antiviral medicine to prevent or treat COVID-2019.",15,8
How do I know if it is COVID-19 or just the common flu ,A COVID-19 infection has the same signs and symptoms as the common cold and you can only differentiate them through laboratory testing to determine the virus type. ,16,3
Can the virus that causes COVID-19 be transmitted through the air ,Studies to date suggest that the virus that causes COVID-19 is mainly transmitted through contact with respiratory droplets rather than through the air. ,17,9
What can I do to protect myself and prevent the spread of disease ,"Stay aware of the latest information on the COVID-19 outbreak, available on the WHO website and through your national and local public health authority. ",18,2
I am well and asymptomatic. Should I use a mask ,"According to the WHO, for individuals without respiratory symptoms, a medical mask is not required, as no evidence is available on its usefulness to protect non-sick persons.",19,1
How likely am I to catch COVID-19 ,"The risk depends on where you are - and more specifically, whether there is a COVID-19 outbreak unfolding there. ",20,0
