Question,Answer,Source,,,,,,,,
What is COVID-19,"COVID-19 is the infectious disease caused by the most recently discovered coronavirus. This new virus and disease were unknown before the outbreak began in Wuhan, China, in December 201",WJLA,,,,,,,,
What are the symptoms of COVID-19,"The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These symptoms are usually mild and begin gradually. Some people become infected but don°Øt develop any symptoms and don't feel unwell.",WJLA,,,,,,,,
How does COVID-19 spread,"People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales. These droplets land on objects and surfaces around the person. Other people then catch COVID-19 by touching these objects or surfaces, then touching their eyes, nose or mouth. People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets.",WJLA,,,,,,,,
Can the virus that causes COVID-19 be transmitted through the air,Studies to date suggest that the virus that causes COVID-19 is mainly transmitted through contact with respiratory droplets rather than through the air.,WJLA,,,,,,,,
Can CoVID-19 be caught from a person who has no symptoms,The risk of catching COVID-19 from someone with no symptoms at all is very low.?,WJLA,,,,,,,,
What can I do to protect myself and prevent the spread of disease,Regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water. Maintain at least 3 feet distance between yourself and anyone who is coughing or sneezing.,WJLA,,,,,,,,
Should I wear a mask to protect myself,"People with no respiratory symptoms, such as cough, do not need to wear a medical mask. WHO recommends the use of masks for people who have symptoms of COVID-19 and for those caring for individuals who have symptoms, such as cough and fever.",WJLA,,,,,,,,
"How to put on, use, take off and dispose of a mask","Before touching the mask, clean hands with an alcohol-based hand rub or soap and water. Take the mask and inspect it for tears or holes. Orient which side is the top side (where the metal strip is). Ensure the proper side of the mask faces outwards (the colored side). Place the mask to your face. Pinch the metal strip or stiff edge of the mask so it molds to the shape of your nose. Pull down the mask°Øs bottom so it covers your mouth and your chin.",WJLA,,,,,,,,
How likely am I to catch COVID-19,The risk depends on where you live or where you have travelled recently. The risk of infection is higher in areas where a number people have been diagnosed with COVID-19.?,WJLA,,,,,,,,
Should I worry about COVID-19?,"If you are not in an area where COVID-19 is spreading, or if you have not travelled from one of those areas or have not been in close contact with someone who has and is feeling unwell, your chances of getting it are currently low.",WJLA,,,,,,,,
Who is at risk of developing severe illness,"While we are still learning about how COVID-2019 affects people, older persons and persons with pre-existing medical conditions (such as high blood pressure, heart disease, or diabetes) appear to develop serious illness more often than others.",WJLA,,,,,,,,
Are antibiotics effective in preventing or treating the COVID-19,"No. Antibiotics do not work against viruses, they only work on bacterial infections. COVID-19 is caused by a virus, so antibiotics do not work.",WJLA,,,,,,,,
How long is the incubation period for COVID-19,"Most estimates of the incubation period for COVID-19 range from 1-14 days, most commonly around five days.",WJLA,,,,,,,,
How long does the virus survive on surfaces,"It is not certain how long the virus that causes COVID-19 survives on surfaces, but it seems to behave like other coronaviruses. Studies suggest that coronaviruses (including preliminary information on the COVID-19 virus) may persist on surfaces for a few hours or up to several days.",WJLA,,,,,,,,
Is it safe to receive a package from any area where COVID-19 has been reported,"Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.",WJLA,,,,,,,,
"Is there a vaccine, drug or treatment for COVID-19","Not yet. To date, there is no vaccine and no specific antiviral medicine to prevent or treat COVID-2019.",WJLA,,,,,,,,
How do I know if it is COVID-19 or just the common flu ,A COVID-19 infection has the same signs and symptoms as the common cold and you can only differentiate them through laboratory testing to determine the virus type. ,United Nations,,,,,,,,
Can the virus that causes COVID-19 be transmitted through the air ,Studies to date suggest that the virus that causes COVID-19 is mainly transmitted through contact with respiratory droplets rather than through the air. ,United Nations,,,,,,,,
What can I do to protect myself and prevent the spread of disease ,"Stay aware of the latest information on the COVID-19 outbreak, available on the WHO website and through your national and local public health authority. ",United Nations,,,,,,,,
I am well and asymptomatic. Should I use a mask ,"According to the WHO, for individuals without respiratory symptoms, a medical mask is not required, as no evidence is available on its usefulness to protect non-sick persons.",United Nations,,,,,,,,
How likely am I to catch COVID-19 ,"The risk depends on where you are - and more specifically, whether there is a COVID-19 outbreak unfolding there. ",United Nations,,,,,,,,
Are pregnant women more susceptible to the COVID-19 virus and will it harm the fetus ,"We do not have information from published scientific reports about the susceptibility of pregnant women to COVID-19. Pregnant women experience immunologic and physiologic changes, which might make them more susceptible to viral respiratory infections, including COVID-19. ",United Nations,,,,,,,,
What is the risk of my child becoming sick with COVID-19 ,"Based on available evidence, children do not appear to be at higher risk for COVID-19 than adults. ",United Nations,,,,,,,,
Are the symptoms of COVID-19 different in children than in adults ,"No. The symptoms of COVID-19 are similar in children and adults. However, children with confirmed COVID-19 have generally presented with mild symptoms. ",United Nations,,,,,,,,
Should I worry about COVID-19 ,"Illness due to COVID-19 infection is generally mild, especially for children and young adults. However, it can cause serious illness: about 1 in every 5 people who catch it need hospital care. It is therefore quite normal for people to worry about how the COVID-19 outbreak will affect them and their loved ones. ",United Nations,,,,,,,,
Who is at risk of developing severe illness ,"While we are still learning about how COVID-2019 affects people, older persons and persons with pre-existing medical conditions (such as high blood pressure, heart disease, lung disease, cancer or diabetes) appear to develop serious illness more often than others. ",United Nations,,,,,,,,
Are there any medicines or therapies that can prevent or cure COVID-19 ,"While some western, traditional or home remedies may provide comfort and alleviate symptoms of COVID-19, there is no evidence that current medicine can prevent or cure the disease. WHO does not recommend self-medication with any medicines, including antibiotics, as a prevention or cure for COVID-19. ",United Nations,,,,,,,,
"Is there a vaccine, drug or treatment for COVID-19","Not yet. To date, there is no vaccine and no specific antiviral medicine to prevent or treat COVID-2019.",United Nations,,,,,,,,
Should I wear a mask to protect myself from catching the COVID-19 virus ,Only wear a mask if you are ill with COVID-19 symptoms (especially coughing) or looking after someone who may have COVID-19. ,United Nations,,,,,,,,
Until when should I wear a mask after recovering from an illness with respiratory symptoms ,"In order to avoid infecting others, you should use a mask for as long as you are still coughing or sneezing. You should only stop after a complete recovery (which means 24-48 hours after having no symptoms without medication). ",United Nations,,,,,,,,
How long is the incubation period for COVID-19 ,"Most estimates of the incubation period for COVID-19 range from 1- 14 days, most commonly around five days. ",United Nations,,,,,,,,
Can humans become infected with the COVID-19 from an animal source ,Possible animal sources of COVID-19 have not yet been confirmed. ,United Nations,,,,,,,,
How long does the virus survive on surfaces ,"Studies suggest that coronaviruses (including preliminary information on the COVID-19 virus) may persist on surfaces for a few hours or up to several days. This may vary under different conditions (e.g. type of surface, temperature or humidity of the environment). ",United Nations,,,,,,,,
How can I get tested for COVID-19 ,"Call your local UN clinic/medical facility to inform them of your condition and relevant travel/exposure history. If you had been identified as a close contact of a case by the local Ministry of Health or WHO, please also indicate this. From here you will be advised if a medical assessment is necessary and how to get tested. ",United Nations,,,,,,,,
What alternatives do I have if there are no hand sanitizers available,"If hand sanitizers are not available, hand washing with soap and water is the recommended, and even better, alternative. ",United Nations,,,,,,,,
Can people who recover from COVID-19 be infected again ,"We know that for similar coronaviruses, infected people are unlikely to be re-infected shortly after they recover. However, because the immune response to COVID-19 is not yet understood, it is not yet known whether similar immune protection will be observed for patients who have recovered from COVID-19. ",United Nations,,,,,,,,
Is it safe to receive a package from an area where COVID-19 has been reported ,"Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low. ",United Nations,,,,,,,,
