"","V1","ave_sentiment"
"1","['ron', 'desanti', 'say', 'floridian', 'take', 'regeneron', 'antibodi', 'treatment', 'given', 'trump', 'washington']",-0.0875
"2","['doctor', 'spread', 'misinform', 'licens', 'revok', 'medic', 'board', 'say']",-0.467342584095534
"3","['updat', 'nyc', 'knick', 'fulli', 'vaccin', 'net', 'yet', 'abc', 'new', 'york', 'new', 'york', 'citi', 'new', 'yo']",-0.0917662935482247
"4","['florida', 'ferret', 'test', 'posit', 'start', 'sneez', 'cough']",-0.0150755672288882
"5","['u', 'still', 'worst', 'hot', 'spot', 'world']",-0.200445931434318
"6","['greg', 'hunt', 'say', 'track', 'record', 'vaccin', 'week', 'thank']",-0.1455213750218
"7","['acc', 'sourc', 'appear', 'publish', 'diseas', 'death', 'rate', 'plu', 'vaccin', 'rate', 'propaganda', 'lay']",-0.58925565098879
"8","['mount', 'evid', 'suggest', 'may', 'sabotag', 'men', 'sexual', 'health']",-0.237170824512628
"9","['therefor', 'daszak', 'intent', 'genet', 'modifi', 'coronavirus', 'ensur', 'crossov', 'bat', 'he']",-0.194028500029066
"10","['realli', 'let', 'know', 'compani', 'school', 'groceri', 'store', 'never', 'clean']",-0.193649167310371
"11","['notic', 'weekli', 'nsw', 'health', 'surveil', 'report', 'figur', 'show', 'peopl', 'die']",-0.225
"12","['sharpest', 'tool', 'toolbox']",-0.316227766016838
"13","['case', 'tokyo', 'plummet', 'studi', 'point', 'restraint', 'unvaccin', 'japan', 'time']",-0.230408843784516
"14","['sinc', 'start', 'american', 'die', 'death', 'worldwid']",-0.363803437554499
"15","['nba', 'wiggin', 'irv', 'jab', 'dilemma']",-0.388908729652601
"16","['impact', 'drone', 'servic', 'market', 'revenu', 'spike', 'drone', 'uav']",-0.221880078490092
"17","['serious', 'fuck']",-1.03923048454133
"18","['find', 'amaz', 'seem', 'attack', 'politician', 'film', 'star', 'etc', 'alway', 'medium', 'rat']",-0.167705098312484
"19","['gobar', 'gaomoot', 'medicin', 'erad']",-0.066332495807108
"20","['doctor', 'scale', 'rocki', 'terrain', 'invok', 'god', 'vaccin', 'himalayan', 'villag']",-0.360843918243516
"21","['protest', 'israel', 'law', 'vaxx', 'mandat']",-0.150755672288882
"22","['year', 'worldwid', 'known', 'crash', 'economi', 'put', 'everyon', 'quarantin']",-0.373101253622318
"23","['vaccin', 'evid', 'wane', 'immun', 'overst', 'bmj']",-0.205548047910945
"24","['demand', 'global', 'access', 'vaccin', 'globalcitizen']",-0.0377964473009227
"25","['publish', 'begin']",-0.618098256384415
"26","['unjust', 'irrespons', 'vaccin', 'made', 'avail', 'peopl', 'live', 'low', 'incom', 'coun']",-0.0117851130197758
"27","['live', 'updat', 'india', 'endem', 'stage', 'third', 'wave', 'intens', 'low', 'say', 'virologist']",-0.0942809041582063
"28","['tokyo', 'infect', 'drop', 'threeday', 'averag', 'pathet', 'pcr', 'test']",-0.505181485540923
"29","['deni', 'vermin', 'medic', 'treatment', 'care', 'second', 'melbourn', 'antilockdown', 'protest', 'test', 'posit']",-0.0625
"30","['canadian', 'studi', 'turn', 'wrong', 'spread', 'like', 'wildfir', 'among', 'antivaxx', 'cbc', 'news']",-0.058925565098879
"31","['countri', 'suicid', 'among', 'femal', 'increas', 'wear']",-0.346687622640768
"32","['india', 'log', 'fresh', 'case', 'death', 'last', 'hr', 'death', 'toll', 'climb', 'daili', 'fat']",-0.3375
"33","['hi', 'mean', 'child', 'live', 'conflict']",-0.316227766016838
"34","['antivaccin', 'milit', 'killer']",-0.408248290463863
"35","['biden', 'chaotic', 'messag', 'booster', 'pit', 'white', 'hous', 'govern', 'sci']",-0.0903696114115064
"36","['washington', 'medium', 'commiss', 'give', 'sanction', 'doctor', 'give', 'fals', 'inform', 'surround']",-0.0554700196225229
"37","['biden', 'chaotic', 'messag', 'booster', 'pit', 'white', 'hous', 'govern', 'sci']",-0.0903696114115064
