"","V1","ave_sentiment"
"1","['vote', 'vet']",0
"2","['open', 'daili', 'sfvalley', 'featur', 'csun']",0
"3","['ummmm', 'say', 'peopl', 'vaccin']",0
"4","['kickstart', 'creator', 'cope', 'kickstart', 'crypto', 'crypto', 'news']",0
"5","['octob', 'test', 'america', 'see', 'vacccin', 'realli', 'bring', 'end', 'take']",0
"6","['chine', 'mainland', 'report', 'import', 'case', 'china']",0
"7","['vaccin', 'peopl', 'like', 'spread', 'unvaccin', 'peopl']",0
"8","['saigon', 'reopen', 'vietnam']",0
"9","['chine', 'mainland', 'report', 'import', 'case', 'china', 'chinacovid']",0
"10","['respons', 'depart', 'correct', 'repli', 'respons', 'budget']",0
"11","['pregnant', 'cdc', 'realli', 'want', 'get', 'vaccin']",0
"12","['thousand', 'case', 'among', 'schoolag', 'child', 'minnesota', 'month', 'accord', 'data']",0
"13","['clarif', 'phoeb', 'moran', 'respons', 'budget']",0
"14","['intern', 'border', 'reopen', 'within', 'week', 'news', 'australia']",0
"15","['world', 'updat', 'total', 'dose', 'china', 'india', 'u']",0
"16","['counti', 'add', 'death', 'total']",0
"17","['exclus', 'noem', 'biden', 'ration', 'medicin', 'polit', 'reason']",0
"18","['await', 'respons', 'depart', 'correct', 'repli', 'mask', 'suppli', 'usag', 'respons']",0
"19","['queensland', 'vaccin', 'drive', 'updat', 'dose', 'two', 'dose']",0
"20","['one', 'provinc', 'report', 'close', 'case', 'school', 'last', 'day']",0
"21","['florida', 'tighten', 'vaccin', 'requir', 'across', 'state']",0
"22","['philippin', 'loosen', 'curb', 'capit', 'region']",0
"23","['thousand', 'chine', 'citizen', 'harbin', 'rode', 'train', 'ga', 'chamber', 'quarantin', 'camp']",0
"24","['statewis', 'look', 'daili', 'case', 'india', 'diu', 'india', 'coronaviruspandem']",0
"25","['long', 'hair', 'freaki', 'peopl', 'need', 'appli']",0
"26","['get', 'vaccin', 'covidsk']",0
"27","['malaysia', 'post', 'record', 'monthli', 'death', 'author', 'cite', 'backlog', 'reuter']",0
"28","['vaccin', 'africa', 'popul']",0
"29","['covidestim', 'nowcast']",0
"30","['philippin', 'loosen', 'curb', 'capit', 'region', 'malay', 'mail']",0
"31","['naturalimmun', 'natur', 'immun', 'lawsuit', 'doctor', 'perspect']",0
"32","['myanmar', 'situat', 'follow', 'myanmarcovidso', 'octcoup', 'whatshappeninginmyanmar']",0
"33","['draymondgreen', 'wont', 'tri', 'push', 'andrewwiggin', 'get', 'vaccin', 'feel', 'nba']",0
"34","['quarantin', 'camp', 'china', 'full', 'peopl', 'queu', 'outsid', 'slept', 'street', 'night']",0
"35","['vatican', 'mandat', 'staff', 'get', 'vaccin', 'test']",0
"36","['data', 'show', 'unvaccin', 'peopl', 'alreadi', 'like']",0
"37","['putrajaya', 'control', 'sinovac', 'vaccin', 'price', 'negoti', 'among', 'state', 'govern', 'priv']",0
"38","['ronapreveltsupgtampxltsupgt', 'reduc', 'viral', 'load', 'within', 'seven', 'day']",0
"39","['act', 'report', 'highest', 'daili', 'talli', 'case', 'two', 'death']",0
"40","['act', 'report', 'highest', 'daili', 'talli', 'case', 'two', 'death']",0
"41","['fck', 'vaccin', 'fjb']",0
"42","['latest', 'twitter', 'time', 'tokyo']",0
"43","['daili', 'news', 'updat', 'septemb', 'know', 'today', 'seattl', 'area', 'washington', 'sta']",0
"44","['open', 'australia', 'trade', 'necessari', 'trade', 'done', 'internet', 'telecon']",0
"45","['nisqual', 'tribe', 'evacu', 'quarantin', 'site', 'near', 'roy']",0
"46","['exhibit', 'cancel', 'influenc']",0
"47","['good', 'bad', 'news', 'parent', 'good', 'news', 'case', 'rate', 'among', 'vaccineelig', 'child', 'bad']",0
"48","['malaysia', 'post', 'record', 'monthli', 'death', 'author', 'cite', 'backlog']",0
"49","['india', 'daili', 'death', 'rise', 'health', 'ministri']",0
"50","['mani', 'victoria']",0
"51","['associ', 'school', 'mask', 'polici', 'schoolassoci', 'outbreak', 'maricopa', 'pima', 'counti']",0
"52","['knust', 'scientist', 'lead', 'clinic', 'trial', 'nibima', 'treatment']",0
"53","['malaysia', 'post', 'record', 'monthli', 'death', 'author', 'cite', 'backlog']",0
"54","['studi', 'show', 'case', 'area', 'without', 'school', 'mask', 'polici']",0
"55","['philippin', 'loosen', 'curb', 'capit', 'region']",0
"56","['kiwi', 'follow', 'plan', 'agenda', 'see', 'landscap', 'chang', 'massiv', 'imo', 'delta']",0
"57","['que', 'merck', 'say', 'research', 'show', 'pill', 'work', 'variant']",0
"58","['india', 'daili', 'case', 'rise', 'health', 'ministri']",0
"59","['patero', 'mayor', 'miguel', 'ponc', 'said', 'number', 'case', 'patero', 'drop', 'percent', 'amid', 'pilot']",0
"60","['pfizerbiontech', 'bnt', 'vaccin', 'ship', 'taiwan']",0
"61","['benefit', 'held', 'foley', 'famili', 'lost', 'husband', 'father']",0
"62","['nation', 'review', 'would', 'say', 'death', 'evid', 'system', 'work', 'intend', 'also']",0
"63","['unmask', 'prepar', 'whatampaposs', 'come']",0
"64","['nurs', 'student', 'say', 'presid', 'joe', 'biden', 'vaccin', 'mandat', 'impact', 'graduat']",0
"65","['wonder', 'get', 'vaccin', 'kenya', 'check', 'websit', 'deta']",0
"66","['haiticovid', 'delta', 'mu', 'variant', 'detect', 'nation', 'territori', 'accord', 'mspp']",0
"67","['minist', 'meet', 'staff', 'financ', 'depart', 'today', 'part', 'post', 'tour']",0
"68","['total', 'wuhanviru', 'prid', 'kal', 'oct', 'mmdcclxxiv', 'sep', 'octob', 'total', 'ca']",0
"69","['russia', 'report', 'highest', 'number', 'daili', 'case', 'two', 'month', 'newcovidcas', 'russia']",0
"70","['nation', 'recogn', 'restaur', 'upstat', 'temporarili', 'close', 'employe', 'get', 'test']",0
"71","['intraven', 'inject', 'mrna', 'vaccin', 'induc', 'acut']",0
"72","['initi', 'billion', 'given', 'state', 'stimulu', 'packag', 'alloc', 'popul']",0
"73","['mayb', 'countri', 'le', 'also', 'twice', 'member', 'alreadi', 'vaccin']",0
"74","['crore', 'vaccin', 'dose', 'provid', 'state', 'ut', 'health', 'ministri']",0
