text,index
"['india', 'record', 'new', 'case', 'past', 'hour', 'lowest', 'daili', 'count', 'day', 'indiacovid']",0
"['jann', 'arden', 'say', 'real', 'wont', 'ever', 'exist', 'tv', 'sitcom']",1
"['jann', 'arden', 'say', 'real', 'wont', 'ever', 'exist', 'tv', 'sitcom']",2
"['pdf', 'download', 'peopl', 'stay', 'home', 'famili', 'book', 'kid', 'book', 'natur', 'book', 'ebook', 'download']",3
"['tri', 'understand', 'usa', 'got', 'hit', 'hard', 'se', 'asia', 'stabl', 'compar', 'tha']",4
"['time', 'run', 'school', 'appli', 'feder', 'fund', 'help', 'slow', 'spread']",5
"['unvaccin', 'right', 'cant', 'know', 'dont', 'ask', 'right', 'show']",6
"['sinc', 'start', 'american', 'die', 'death', 'worldwid']",7
"['case', 'among', 'child', 'rise', 'significantli', 'faster', 'adult', 'yeah', 'wel']",8
"['receiv', 'vaccin', 'u', 'citizen', 'older', 'receiv', 'municip', 'inoc']",9
"['made', 'day', 'scarborough', 'vaxfact', 'goe', 'nation', 'canada', 'got', 'question', 'vaccin', 'vaxfact']",10
"['four', 'down', 'msubobcatsfb', 'prep', 'cal', 'poli', 'avoid', 'absenc', 'mtscore']",11
"['hope', 'year']",12
"['texa', 'school', 'report', 'case', 'two', 'month', 'entir', 'school', 'year']",13
"['hr', 'overtim', 'last', 'good', 'swap', 'ppe', 'lycra', 'replac', 'chatter', 'air']",14
"['ive', 'tweet', 'month', 'let', 'denier', 'denier', 'plea', 'take', 'care', 'pfizerbiontech', 'vac']",15
"['big', 'pharma', 'make', 'billion', 'said', 'suppos', 'profit']",16
"['tweet', 'fox', 'news', 'spend', 'year', 'engag', 'denial', 'disinform']",17
"['yotpo', 'develop', 'partner', 'portal', 'demand', 'bb', 'ecommerc', 'servic', 'product', 'surg']",18
"['moh', 'launch', 'ambitiuo', 'vaccin', 'campaign', 'target', 'administ', 'million', 'approv', 'vaccin']",19
"['updat', 'vaccin', 'avail', 'statesut', 'crore', 'vaccin', 'dose', 'provid']",20
"['updat', 'india', 'adult', 'popul', 'administ', 'first', 'dose', 'vaccin', 'union', 'health', 'min']",21
"['effect', 'mrna', 'bntb', 'vaccin', 'month', 'larg', 'integr', 'health', 'system', 'usa']",22
"['oop', 'side', 'effect', 'may', 'last', 'lifetim', 'footinmouth', 'diseas']",23
"['vaccin', 'know', 'univers', 'vaccin', 'know', 'make', 'human', 'diseas', 'free']",24
"['realnet', 'provid', 'u', 'abil', 'send', 'money', 'quickli', 'cost', 'effect', 'aid', 'relief', 'effort']",25
"['msc', 'announc', 'safeti', 'protocol', 'dubai', 'season']",26
"['vaccin', 'isi', 'know', 'univers', 'vaccin', 'isi', 'know', 'make', 'human', 'diseas', 'freehow', 'let']",27
"['sentiment', 'analysi', 'use', 'maori', 'instead', 'intern', 'medium', 'pickedup', 'latest']",28
"['pakistan', 'statist', 'oct', 'total', 'test', 'last', 'hour', 'posit', 'case', 'posit']",29
"['jann', 'arden', 'say', 'real', 'wont', 'ever', 'exist', 'tv', 'sitcom']",30
"['doom', 'doom', 'go', 'win']",31
"['kinda', 'hard', 'kill', 'everyon']",32
"['jann', 'arden', 'say', 'real', 'wont', 'ever', 'exist', 'tv', 'sitcom']",33
